S1- the Gene Discovery informatics Toolkit	 	 
Column Name	Description	Source
IMPC_all_MP_ID	IDs of all MP terms annotated to the gene in IMPC	International Mouse Phenotyping Consortium
IMPC_all_MP_phen	descriptions of all the MP terms annotated to the gene  in IMPC	International Mouse Phenotyping Consortium
IMPC_lethal_MP_ID	"IDs of the lethal MP terms annotated to the gene in IMPC, if applicable"	International Mouse Phenotyping Consortium
IMPC_lethal_MP_phen	"descriptions of the lethal MP terms annotated to the gene in IMPC, if applicable"	International Mouse Phenotyping Consortium
IMPC_ko	"""Y"" if the gene has a homozygous mouse KO in available iMPC data"	International Mouse Phenotyping Consortium
mouse_ko	"""Y"" if the gene has a homozygous mouse KO in either IMPC or MGI data"	
lethal_mouse	"""Y"" if the gene is lethal in homozygous KO mice in either IMPC or MGI"	
lethal_het_MGI	"""Y"" if the gene is annotated with any lethal MP terms (table 2 s4) in heterozygous KO mouse in MGI"	Mouse Genome Informatics
lethal_het_MP_ID	"IDs of the lethal MP terms annotated to the gene in MGI heterozygous KOs, if applicable"	Mouse Genome Informatics
lethal_het_MP_phen	"descriptions of the lethal MP terms annotated to the gene in MGI heterozygous KOs, if applicable"	Mouse Genome Informatics
all_het_MP_ID	IDs of all MP terms annotated to the gene in MGI heterozygous KOs	Mouse Genome Informatics
all_het_MP_phen	descriptions of all the MP terms annotated to the gene  in MGI heterozygous Kos	Mouse Genome Informatics
het_allele_info	Information on the type of allele present in the heterozygous mouse KO of this gene in MGI	Mouse Genome Informatics
lethal_het_IMPC	"""Y"" if the gene is annotated with any lethal MP terms (table 2 s4) in heterozygous KO mouse in IMPC"	International Mouse Phenotyping Consortium
IMPC_het_all_MP_ID	IDs of all MP terms annotated to the gene in IMPC heterozygous KOs	International Mouse Phenotyping Consortium
IMPC_het_all_MP_phen	descriptions of all the MP terms annotated to the gene  in IMPC heterozygous Kos	International Mouse Phenotyping Consortium
IMPC_het_lethal_MP_ID	"IDs of the lethal MP terms annotated to the gene in IMPC heterozygous KOs, if applicable"	International Mouse Phenotyping Consortium
IMPC_het_lethal_MP_phen	"descriptions of the lethal MP terms annotated to the gene in IMPC heterozygous KOs, if applicable"	International Mouse Phenotyping Consortium
IMPC_het_ko	"""Y"" if the gene has heterozygous KO phenotype data available in IMPC"	International Mouse Phenotyping Consortium
mouse_het_ko	"""Y"" if the gene has heterozygous KO phenotype data available in either MGI or IMPC"	
lethal_het_mouse	"""Y"" if the gene is annotated with any lethal MP terms (table 2 s4) in heterozygous KO mouse in either IMPC or MGI"	
cell_ko	"""Y"" if the gene was assessed for cell essentiality by Blomen, Hart or Wang"	"Blomen, V.A., et al., Gene essentiality and synthetic lethality in haploid human cells. Science, 2015. 350(6264): p. 1092-1096.,Hart, T., et al., High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities. Cell, 2015. 163(6): p. 1515-1526.,Wang, T., et al., Identification and characterization of essential genes in the human genome. Science, 2015. 350(6264): p. 1096."
cell_essential_hits	"Number of cell lines in which the gene was classed as essential throughout Blomen, Hart and Wang"	"Blomen, V.A., et al., Gene essentiality and synthetic lethality in haploid human cells. Science, 2015. 350(6264): p. 1092-1096.,Hart, T., et al., High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities. Cell, 2015. 163(6): p. 1515-1526.,Wang, T., et al., Identification and characterization of essential genes in the human genome. Science, 2015. 350(6264): p. 1096."
cell_essential	"""Y"" if the gene hits our cutoff for cell essentiality of being essential in 3 or more cell lines"	"Blomen, V.A., et al., Gene essentiality and synthetic lethality in haploid human cells. Science, 2015. 350(6264): p. 1092-1096.,Hart, T., et al., High-Resolution CRISPR Screens Reveal Fitness Genes and Genotype-Specific Cancer Liabilities. Cell, 2015. 163(6): p. 1515-1526.,Wang, T., et al., Identification and characterization of essential genes in the human genome. Science, 2015. 350(6264): p. 1096."
S2- Information on genes which are essential in a cell but non-lethal in a homozygous KO mouse		
gene	Gene symbols	
mgd_id	ID of gene in the mouse genome informatics database	
all_MP_phen	descriptions of all the MP terms annotated to the gene	
high_MP_phen	descriptions of the high-level broadly descriptive MP terms annotated to the gene	
prem_death	"""Y"" if the gene is associated with the phenotype term ""premature death"" in homozygous KO mice"	
cellular_phenotype	"""Y"" if the gene is associated with the phenotype term ""cellular phenotype"" in homozygous KO mice"	
"S3- list of 'candidate lethal' genes, which are essential in cells or mice but have no known phenotype in a human"		
